"COUNTRY","DEALERSHIP","CUSTOMER_TYPE","GEO_TYPE","MODEL","FAULT_TYPE"
"Portugal","Re-Import","Private","Village","Golf","Brake Fluid"
"Portugal","Re-Import","Private","Village","Golf","Turbo Charger"
"Spain","Re-Import","Private","Suburban","Golf","Brake Fluid"
"Spain","Re-Import","Private","Suburban","Golf","Engine Control"
"Spain","Re-Import","Private","Suburban","Golf","Turbo Charger"
"Spain","Re-Import","Private","Village","Golf","Turbo Charger"
"Switzerland","Re-Import","Private","Suburban","Golf","Brake Fluid"
"Switzerland","Re-Import","Private","Suburban","Golf","Engine Control"
"Switzerland","Re-Import","Private","Suburban","Golf","Turbo Charger"
"Belgium","VW Dealer","Corporate","Suburban","Golf","Brake Fluid"
"Belgium","VW Dealer","Corporate","Urban","Golf","Turbo Charger"
"Germany","VW Dealer","Corporate","Urban","Golf","Engine Control"
"Germany","VW Dealer","Corporate","Urban","Golf","Turbo Charger"
"Holland","VW Dealer","Corporate","Suburban","Golf","Brake Fluid"
"Holland","VW Dealer","Corporate","Suburban","Golf","Engine Control"
"Holland","VW Dealer","Corporate","Suburban","Golf","Turbo Charger"
"Portugal","VW Dealer","Corporate","Suburban","Golf","Brake Fluid"
"Spain","VW Dealer","Corporate","Suburban","Golf","Brake Fluid"
"Spain","VW Dealer","Corporate","Suburban","Golf","Turbo Charger"
"Switzerland","VW Dealer","Corporate","Suburban","Golf","Turbo Charger"
"Austria","VW Dealer","Private","Rural","Golf","Brake Fluid"
"Austria","VW Dealer","Private","Rural","Golf","Turbo Charger"
"Austria","VW Dealer","Private","Suburban","Golf","Brake Fluid"
"Austria","VW Dealer","Private","Suburban","Golf","Brake Pad"
"Austria","VW Dealer","Private","Suburban","Golf","Generator"
"Austria","VW Dealer","Private","Suburban","Golf","Spark Plugs"
"Austria","VW Dealer","Private","Suburban","Golf","Turbo Charger"
"Austria","VW Dealer","Private","Urban","Golf","Turbo Charger"
"Austria","VW Dealer","Private","Village","Golf","Brake Fluid"
"Austria","VW Dealer","Private","Village","Golf","Brake Pad"
"Austria","VW Dealer","Private","Village","Golf","Spark Plugs"
"Austria","VW Dealer","Private","Village","Golf","Turbo Charger"
"Belgium","VW Dealer","Private","Suburban","Golf","Brake Fluid"
"Belgium","VW Dealer","Private","Suburban","Golf","Brake Pad"
"Belgium","VW Dealer","Private","Suburban","Golf","Generator"
"Belgium","VW Dealer","Private","Suburban","Golf","Spark Plugs"
"Belgium","VW Dealer","Private","Suburban","Golf","Turbo Charger"
"Belgium","VW Dealer","Private","Urban","Golf","Brake Fluid"
"Belgium","VW Dealer","Private","Urban","Golf","Brake Pad"
"Belgium","VW Dealer","Private","Urban","Golf","Generator"
"Belgium","VW Dealer","Private","Urban","Golf","Spark Plugs"
"Belgium","VW Dealer","Private","Urban","Golf","Turbo Charger"
"Belgium","VW Dealer","Private","Village","Golf","Brake Fluid"
"Belgium","VW Dealer","Private","Village","Golf","Spark Plugs"
"Belgium","VW Dealer","Private","Village","Golf","Turbo Charger"
"France","VW Dealer","Private","Rural","Golf","Turbo Charger"
"France","VW Dealer","Private","Suburban","Golf","Brake Fluid"
"France","VW Dealer","Private","Suburban","Golf","Brake Pad"
"France","VW Dealer","Private","Suburban","Golf","Generator"
"France","VW Dealer","Private","Suburban","Golf","Spark Plugs"
"France","VW Dealer","Private","Suburban","Golf","Turbo Charger"
"France","VW Dealer","Private","Urban","Golf","Brake Fluid"
"France","VW Dealer","Private","Urban","Golf","Spark Plugs"
"France","VW Dealer","Private","Urban","Golf","Turbo Charger"
"France","VW Dealer","Private","Village","Golf","Brake Fluid"
"France","VW Dealer","Private","Village","Golf","Brake Pad"
"France","VW Dealer","Private","Village","Golf","Spark Plugs"
"France","VW Dealer","Private","Village","Golf","Turbo Charger"
"Germany","VW Dealer","Private","Suburban","Golf","Brake Fluid"
"Germany","VW Dealer","Private","Suburban","Golf","Brake Pad"
"Germany","VW Dealer","Private","Suburban","Golf","Generator"
"Germany","VW Dealer","Private","Suburban","Golf","Spark Plugs"
"Germany","VW Dealer","Private","Suburban","Golf","Turbo Charger"
"Germany","VW Dealer","Private","Super Urban","Golf","Turbo Charger"
"Germany","VW Dealer","Private","Urban","Golf","Brake Fluid"
"Germany","VW Dealer","Private","Urban","Golf","Brake Pad"
"Germany","VW Dealer","Private","Urban","Golf","Generator"
"Germany","VW Dealer","Private","Urban","Golf","Spark Plugs"
"Germany","VW Dealer","Private","Urban","Golf","Turbo Charger"
"Holland","VW Dealer","Private","Rural","Golf","Brake Fluid"
"Holland","VW Dealer","Private","Rural","Golf","Turbo Charger"
"Holland","VW Dealer","Private","Suburban","Golf","Brake Fluid"
"Holland","VW Dealer","Private","Suburban","Golf","Brake Pad"
"Holland","VW Dealer","Private","Suburban","Golf","Generator"
"Holland","VW Dealer","Private","Suburban","Golf","Spark Plugs"
"Holland","VW Dealer","Private","Suburban","Golf","Turbo Charger"
"Holland","VW Dealer","Private","Urban","Golf","Brake Fluid"
"Holland","VW Dealer","Private","Urban","Golf","Spark Plugs"
"Holland","VW Dealer","Private","Urban","Golf","Turbo Charger"
"Holland","VW Dealer","Private","Village","Golf","Brake Fluid"
"Holland","VW Dealer","Private","Village","Golf","Brake Pad"
"Holland","VW Dealer","Private","Village","Golf","Generator"
"Holland","VW Dealer","Private","Village","Golf","Spark Plugs"
"Holland","VW Dealer","Private","Village","Golf","Turbo Charger"
"Italy","VW Dealer","Private","Rural","Golf","Brake Fluid"
"Italy","VW Dealer","Private","Rural","Golf","Turbo Charger"
"Italy","VW Dealer","Private","Suburban","Golf","Brake Fluid"
"Italy","VW Dealer","Private","Suburban","Golf","Turbo Charger"
"Italy","VW Dealer","Private","Super Rural","Golf","Turbo Charger"
"Italy","VW Dealer","Private","Very Rural","Golf","Brake Fluid"
"Italy","VW Dealer","Private","Very Rural","Golf","Spark Plugs"
"Italy","VW Dealer","Private","Very Rural","Golf","Turbo Charger"
"Italy","VW Dealer","Private","Village","Golf","Brake Fluid"
"Italy","VW Dealer","Private","Village","Golf","Turbo Charger"
"Portugal","VW Dealer","Private","Rural","Golf","Brake Fluid"
"Portugal","VW Dealer","Private","Rural","Golf","Turbo Charger"
