A,C,B,E,D,F
A1,C4,B2,E3,D1,F4
A6,C3,B4,E4,D5,F4
A2,C6,B6,E6,D1,F5
A4,C5,B2,E1,D3,F3
A2,C1,B5,E6,D5,F3
A2,C1,B2,E6,D5,F6
A4,C5,B2,E4,D1,F4
A1,C1,B6,E6,D3,F6
A5,C3,B2,E5,D3,F4
A5,C6,B6,E6,D1,F2
A6,C5,B5,E5,D2,F4
A1,C2,B4,E6,D6,F6
A1,C6,B2,E6,D5,F1
A3,C5,B4,E6,D1,F1
A3,C2,B4,E6,D3,F2
A3,C3,B2,E2,D1,F1
A3,C5,B5,E2,D6,F3
A6,C4,B5,E3,D4,F3
A4,C6,B6,E5,D4,F1
A5,C3,B5,E2,D1,F2
A5,C5,B3,E3,D3,F6
A2,C2,B1,E3,D1,F3
A4,C6,B2,E3,D6,F5
A3,C2,B5,E3,D3,F6
A4,C2,B5,E3,D2,F1
A2,C1,B4,E3,D5,F1
A3,C6,B3,E2,D4,F6
A4,C5,B5,E5,D1,F5
A3,C5,B2,E1,D2,F4
A4,C3,B4,E4,D3,F5
A5,C5,B1,E3,D6,F1
A4,C1,B5,E3,D5,F2
A4,C1,B2,E3,D3,F6
A3,C2,B4,E3,D2,F6
A5,C3,B5,E1,D2,F1
A2,C6,B3,E2,D3,F1
A5,C3,B5,E3,D4,F5
A5,C6,B1,E5,D2,F1
A2,C4,B4,E2,D3,F6
A4,C6,B6,E4,D1,F3
A1,C4,B6,E2,D5,F5
A2,C6,B3,E2,D6,F4
A1,C5,B2,E1,D3,F6
A1,C1,B5,E2,D4,F5
A5,C5,B5,E4,D2,F3
A6,C3,B2,E5,D1,F2
A6,C5,B5,E6,D2,F5
A2,C6,B3,E3,D5,F3
A4,C5,B6,E1,D3,F3
A4,C4,B6,E4,D5,F2
A6,C2,B1,E4,D5,F2
A1,C2,B2,E6,D6,F6
A2,C2,B4,E1,D2,F5
A4,C3,B6,E1,D6,F2
A1,C2,B1,E5,D3,F5
A4,C1,B2,E5,D6,F4
A6,C2,B5,E5,D1,F4
A6,C6,B3,E5,D6,F3
A3,C3,B6,E6,D6,F2
A5,C3,B3,E3,D4,F3
A4,C1,B1,E2,D6,F5
A5,C6,B6,E3,D6,F4
A4,C2,B5,E5,D1,F1
A5,C5,B6,E6,D6,F3
A1,C4,B4,E3,D6,F3
A5,C1,B6,E6,D5,F6
A2,C2,B6,E3,D2,F5
A2,C4,B3,E3,D5,F1
A5,C5,B6,E3,D2,F2
A2,C5,B2,E5,D5,F3
A6,C2,B6,E2,D3,F5
A2,C5,B3,E3,D2,F1
A4,C3,B3,E2,D5,F5
A6,C3,B4,E3,D2,F3
A4,C2,B2,E5,D5,F2
A3,C5,B1,E4,D1,F6
A6,C4,B5,E1,D2,F2
A3,C3,B5,E5,D1,F2
A1,C2,B6,E3,D5,F6
A6,C6,B6,E6,D1,F4
A6,C6,B3,E2,D3,F5
A2,C2,B1,E4,D1,F1
A4,C1,B2,E3,D3,F4
A4,C6,B6,E5,D2,F1
A2,C6,B4,E3,D5,F3
A3,C2,B3,E1,D5,F5
A6,C4,B5,E4,D4,F5
A5,C2,B4,E6,D3,F4
A3,C6,B4,E5,D4,F6
A3,C5,B1,E4,D2,F3
A5,C2,B1,E1,D5,F4
A3,C3,B3,E6,D4,F1
A1,C3,B1,E6,D1,F4
A6,C2,B4,E6,D1,F2
A3,C6,B5,E6,D4,F3
A6,C5,B4,E3,D5,F1
A3,C5,B2,E1,D3,F2
A3,C2,B2,E2,D2,F5
A2,C6,B6,E6,D4,F6
A1,C3,B2,E6,D4,F2
A2,C2,B4,E4,D5,F4
A5,C5,B2,E1,D2,F4
A2,C5,B3,E6,D1,F6
A2,C5,B5,E3,D2,F5
A2,C2,B2,E2,D6,F2
A2,C3,B6,E3,D2,F4
A1,C2,B6,E4,D4,F2
A5,C1,B2,E5,D2,F2
A2,C6,B5,E5,D2,F6
A1,C3,B3,E4,D6,F5
A2,C6,B6,E5,D3,F3
A3,C6,B5,E1,D5,F3
A5,C1,B3,E4,D2,F3
A5,C1,B6,E2,D5,F6
A5,C1,B4,E6,D5,F4
A5,C1,B6,E2,D5,F6
A1,C5,B2,E6,D6,F6
A4,C4,B4,E6,D1,F2
A6,C1,B1,E5,D4,F2
A4,C3,B6,E1,D3,F1
A2,C6,B3,E1,D2,F5
A3,C5,B4,E1,D4,F5
A4,C3,B2,E2,D3,F1
A6,C6,B3,E1,D1,F1
A5,C5,B4,E2,D3,F2
A5,C5,B4,E5,D6,F4
A6,C4,B6,E6,D1,F2
A2,C5,B2,E4,D6,F2
A6,C4,B4,E5,D6,F2
A5,C6,B5,E4,D4,F6
A2,C2,B6,E4,D3,F5
A4,C1,B6,E6,D4,F3
A5,C4,B3,E3,D4,F3
A3,C5,B5,E5,D6,F1
A2,C6,B3,E1,D5,F5
A2,C2,B5,E1,D3,F1
A2,C5,B2,E2,D5,F5
A1,C2,B6,E6,D2,F1
A2,C3,B4,E3,D4,F4
A2,C2,B1,E3,D4,F5
A1,C5,B6,E1,D2,F3
A6,C6,B1,E1,D2,F4
A1,C4,B1,E3,D3,F3
A5,C2,B6,E4,D2,F1
A6,C4,B4,E4,D6,F5
A1,C5,B6,E4,D5,F3
A3,C1,B5,E4,D5,F6
A3,C1,B2,E6,D6,F1
A3,C1,B2,E5,D3,F1
A1,C1,B3,E1,D3,F1
A1,C2,B1,E6,D3,F5
A3,C2,B6,E5,D1,F1
A6,C5,B3,E1,D4,F4
A4,C2,B6,E1,D1,F4
A3,C5,B4,E2,D4,F1
A1,C3,B6,E5,D1,F5
A5,C6,B3,E5,D1,F2
A3,C2,B4,E6,D4,F1
A4,C3,B2,E4,D3,F6
A5,C2,B6,E2,D2,F1
A1,C4,B6,E5,D2,F6
A6,C6,B1,E5,D5,F3
A2,C1,B3,E2,D1,F3
A4,C6,B4,E5,D6,F5
A2,C2,B3,E4,D5,F6
A2,C2,B5,E2,D3,F4
A1,C4,B6,E4,D1,F3
A5,C4,B1,E5,D2,F5
A2,C1,B2,E2,D4,F6
A3,C4,B3,E2,D4,F2
A3,C3,B4,E2,D1,F3
A4,C2,B4,E2,D3,F6
A5,C4,B1,E4,D2,F3
A4,C6,B1,E4,D4,F1
A5,C2,B4,E6,D2,F3
A6,C4,B1,E4,D2,F4
A1,C5,B1,E2,D2,F1
A2,C6,B4,E3,D5,F4
A1,C2,B4,E1,D2,F6
A2,C3,B4,E2,D3,F5
A4,C3,B5,E5,D2,F3
A2,C5,B5,E6,D6,F3
A5,C2,B4,E3,D4,F5
A5,C3,B2,E5,D6,F3
A3,C6,B3,E1,D2,F5
A3,C2,B2,E4,D1,F3
A1,C4,B1,E4,D5,F2
A6,C3,B4,E1,D1,F3
A3,C2,B6,E4,D6,F4
A1,C6,B1,E2,D2,F2
A6,C2,B2,E6,D6,F2
A2,C3,B2,E4,D5,F5
A1,C4,B6,E3,D1,F2
A1,C1,B6,E1,D4,F5
A1,C6,B3,E4,D4,F1
A2,C3,B5,E6,D2,F1
A4,C2,B4,E3,D5,F6
A1,C3,B1,E5,D4,F2
A5,C1,B4,E5,D4,F4
A3,C2,B1,E5,D2,F4
A2,C6,B2,E1,D3,F1
A2,C3,B1,E5,D6,F4
A4,C3,B4,E4,D6,F4
A1,C1,B2,E6,D5,F4
A3,C3,B6,E5,D6,F3
A5,C2,B6,E3,D2,F2
A5,C2,B6,E5,D4,F6
A2,C5,B6,E6,D1,F2
A4,C1,B3,E1,D2,F2
A4,C6,B2,E2,D2,F4
A4,C4,B3,E2,D2,F4
A4,C1,B1,E3,D4,F3
A6,C1,B4,E2,D3,F2
A2,C2,B5,E2,D5,F3
A4,C6,B2,E2,D4,F5
A3,C4,B5,E4,D4,F6
A5,C1,B4,E1,D2,F4
A1,C2,B6,E3,D2,F5
A5,C3,B5,E5,D4,F1
A5,C3,B5,E2,D6,F3
A5,C1,B1,E4,D3,F1
A5,C6,B2,E6,D5,F1
A2,C6,B6,E3,D6,F6
A5,C6,B5,E3,D2,F1
A3,C5,B3,E5,D5,F4
A2,C3,B2,E6,D6,F6
A6,C6,B3,E5,D1,F5
A3,C3,B4,E1,D1,F5
A5,C2,B5,E3,D3,F4
A5,C4,B6,E3,D4,F4
A2,C1,B2,E6,D3,F2
A3,C3,B6,E5,D1,F5
A4,C5,B3,E2,D1,F5
A3,C3,B1,E2,D3,F3
A1,C2,B2,E2,D2,F5
A4,C4,B2,E3,D6,F5
A6,C5,B5,E1,D3,F3
A2,C4,B6,E1,D5,F2
A1,C5,B6,E3,D1,F6
A5,C4,B2,E6,D3,F1
A5,C4,B5,E4,D4,F3
A6,C5,B2,E3,D6,F5
A5,C2,B1,E6,D3,F5
A4,C5,B2,E1,D5,F2
A6,C3,B3,E4,D1,F3
A3,C4,B1,E3,D3,F6
A2,C3,B3,E1,D5,F6
A1,C2,B4,E4,D2,F3
A6,C4,B3,E4,D3,F3
A5,C1,B2,E2,D3,F3
A4,C5,B3,E4,D1,F5
A2,C5,B1,E2,D2,F3
A4,C2,B5,E4,D5,F3
A5,C2,B3,E5,D6,F2
A1,C5,B2,E6,D1,F6
A4,C2,B2,E1,D1,F4
A6,C6,B5,E4,D4,F1
A2,C3,B4,E4,D6,F3
A6,C4,B5,E1,D2,F4
A3,C4,B6,E2,D6,F2
A5,C4,B6,E1,D6,F2
A2,C2,B2,E6,D1,F2
A4,C3,B1,E6,D3,F2
A6,C3,B5,E3,D4,F4
A4,C1,B3,E1,D4,F2
A2,C1,B4,E2,D4,F2
A3,C5,B6,E4,D4,F1
A3,C5,B4,E1,D2,F3
A5,C1,B1,E1,D3,F2
A3,C4,B1,E4,D1,F6
A6,C2,B2,E1,D5,F3
A5,C2,B5,E5,D2,F4
A2,C6,B5,E1,D2,F3
A4,C1,B6,E1,D3,F1
A4,C6,B1,E3,D2,F2
A2,C2,B1,E5,D5,F5
A1,C5,B5,E4,D6,F3
A4,C6,B1,E2,D4,F5
A5,C4,B4,E4,D2,F4
A6,C2,B4,E3,D3,F4
A2,C6,B1,E1,D6,F4
A2,C1,B2,E6,D3,F5
A3,C1,B2,E1,D1,F1
A2,C5,B6,E3,D3,F2
A4,C4,B4,E4,D3,F2
A1,C5,B5,E5,D1,F3
A5,C2,B6,E3,D4,F1
A4,C6,B3,E3,D4,F1
A2,C1,B1,E1,D4,F4
A2,C4,B5,E2,D3,F6
A5,C2,B4,E4,D6,F5
A2,C3,B1,E5,D6,F1
A2,C2,B4,E2,D5,F4
A3,C4,B6,E3,D2,F6
A5,C3,B6,E3,D2,F1
A2,C1,B2,E5,D4,F2
A5,C5,B1,E2,D5,F6
A1,C4,B3,E1,D1,F4
A6,C6,B1,E5,D1,F1
A3,C2,B4,E3,D3,F4
A2,C3,B2,E3,D5,F4
A4,C5,B6,E3,D3,F2
A2,C6,B4,E5,D6,F4
A2,C3,B4,E2,D3,F6
A6,C3,B5,E1,D1,F4
A4,C4,B6,E6,D1,F6
A5,C2,B4,E2,D1,F4
A1,C5,B4,E2,D5,F6
A5,C3,B4,E6,D1,F6
A6,C3,B4,E3,D4,F3
A5,C3,B3,E1,D2,F6
A4,C1,B5,E5,D6,F5
A4,C5,B3,E5,D4,F3
A4,C2,B2,E6,D1,F4
A4,C2,B1,E1,D6,F1
A2,C1,B5,E2,D3,F5
A4,C5,B2,E1,D5,F5
A4,C5,B5,E1,D4,F2
A4,C1,B3,E6,D5,F3
A5,C5,B1,E3,D4,F6
A5,C2,B6,E5,D5,F2
A2,C2,B1,E2,D4,F3
A3,C5,B1,E2,D3,F5
A6,C1,B1,E3,D1,F4
A6,C3,B4,E4,D3,F1
A6,C6,B2,E5,D1,F4
A2,C3,B1,E2,D4,F3
A6,C1,B1,E3,D2,F1
A6,C2,B5,E6,D6,F6
A6,C4,B3,E5,D4,F4
A1,C6,B3,E2,D1,F4
A1,C3,B4,E5,D2,F5
A3,C2,B1,E4,D6,F6
A6,C5,B4,E3,D3,F2
A4,C6,B4,E6,D2,F1
A4,C3,B4,E3,D6,F6
A5,C3,B4,E5,D6,F3
A5,C4,B2,E4,D4,F6
A3,C5,B6,E3,D2,F5
A5,C6,B1,E1,D1,F6
A5,C4,B2,E1,D2,F1
A2,C3,B6,E2,D5,F1
A4,C5,B5,E6,D3,F2
A1,C6,B3,E6,D6,F4
A3,C5,B1,E5,D1,F5
A3,C2,B6,E2,D6,F4
A6,C1,B2,E1,D6,F3
A2,C3,B5,E4,D6,F1
A6,C4,B6,E5,D5,F1
A6,C4,B6,E6,D3,F6
A4,C1,B1,E5,D4,F2
A4,C3,B3,E2,D5,F4
A5,C4,B4,E6,D1,F4
A1,C6,B4,E4,D1,F3
A4,C3,B4,E3,D4,F5
A4,C5,B1,E2,D3,F3
A1,C3,B4,E1,D3,F4
A3,C5,B1,E4,D3,F4
A6,C5,B3,E4,D1,F6
A1,C1,B5,E4,D6,F4
A6,C5,B1,E1,D6,F2
A3,C4,B6,E6,D3,F6
A5,C3,B4,E6,D2,F3
A1,C1,B6,E2,D4,F1
A4,C6,B3,E2,D2,F2
A3,C5,B1,E6,D6,F5
A3,C6,B6,E6,D5,F4
A2,C5,B5,E6,D5,F4
A1,C5,B6,E1,D4,F1
A4,C6,B3,E2,D4,F4
A4,C4,B3,E3,D6,F5
A4,C5,B3,E6,D1,F5
A4,C1,B4,E5,D3,F2
A4,C1,B6,E3,D3,F4
A4,C2,B3,E5,D5,F2
A4,C6,B4,E5,D4,F2
A6,C3,B2,E4,D4,F1
A2,C4,B4,E4,D5,F2
A4,C6,B6,E2,D2,F5
A6,C6,B5,E5,D5,F3
A4,C5,B3,E5,D2,F2
A6,C6,B5,E2,D1,F1
A6,C3,B6,E3,D3,F1
A2,C5,B2,E5,D2,F4
A1,C3,B4,E2,D1,F4
